year,comuna,age_group,ratio
1991,10,0 a 17,0.237288
1991,10,18 a 29,0.154537
1991,10,30 a 54,0.311418
1991,10,55 a 69,0.181185
1991,10,70+,0.115572
2001,10,0 a 17,0.211204
2001,10,18 a 29,0.177302
2001,10,30 a 54,0.32433
2001,10,55 a 69,0.150933
2001,10,70+,0.136231
2010,10,0 a 17,0.201931
2010,10,18 a 29,0.170645
2010,10,30 a 54,0.342004
2010,10,55 a 69,0.161377
2010,10,70+,0.124043
2022,10,0 a 17,0.184466
2022,10,18 a 29,0.146577
2022,10,30 a 54,0.358083
2022,10,55 a 69,0.173419
2022,10,70+,0.137455
1991,11,0 a 17,0.238595
1991,11,18 a 29,0.156285
1991,11,30 a 54,0.313567
1991,11,55 a 69,0.176354
1991,11,70+,0.115199
2001,11,0 a 17,0.206256
2001,11,18 a 29,0.177521
2001,11,30 a 54,0.32492
2001,11,55 a 69,0.151761
2001,11,70+,0.139542
2010,11,0 a 17,0.196086
2010,11,18 a 29,0.162889
2010,11,30 a 54,0.348654
2010,11,55 a 69,0.165838
2010,11,70+,0.126534
2022,11,0 a 17,0.176702
2022,11,18 a 29,0.143617
2022,11,30 a 54,0.365172
2022,11,55 a 69,0.173745
2022,11,70+,0.140764
1991,12,0 a 17,0.243994
1991,12,18 a 29,0.154814
1991,12,30 a 54,0.313947
1991,12,55 a 69,0.172181
1991,12,70+,0.115064
2001,12,0 a 17,0.204484
2001,12,18 a 29,0.182171
2001,12,30 a 54,0.326156
2001,12,55 a 69,0.151333
2001,12,70+,0.135856
2010,12,0 a 17,0.189542
2010,12,18 a 29,0.166797
2010,12,30 a 54,0.362127
2010,12,55 a 69,0.160312
2010,12,70+,0.121222
2022,12,0 a 17,0.17532
2022,12,18 a 29,0.139537
2022,12,30 a 54,0.395715
2022,12,55 a 69,0.159107
2022,12,70+,0.130322
1991,13,0 a 17,0.231528
1991,13,18 a 29,0.172866
1991,13,30 a 54,0.327584
1991,13,55 a 69,0.159602
1991,13,70+,0.10842
2001,13,0 a 17,0.181467
2001,13,18 a 29,0.191893
2001,13,30 a 54,0.334723
2001,13,55 a 69,0.155084
2001,13,70+,0.136834
2010,13,0 a 17,0.169728
2010,13,18 a 29,0.17079
2010,13,30 a 54,0.357898
2010,13,55 a 69,0.169487
2010,13,70+,0.132096
2022,13,0 a 17,0.164163
2022,13,18 a 29,0.150379
2022,13,30 a 54,0.370594
2022,13,55 a 69,0.16342
2022,13,70+,0.151443
1991,14,0 a 17,0.218297
1991,14,18 a 29,0.185133
1991,14,30 a 54,0.329354
1991,14,55 a 69,0.160201
1991,14,70+,0.107015
2001,14,0 a 17,0.172959
2001,14,18 a 29,0.207169
2001,14,30 a 54,0.33716
2001,14,55 a 69,0.153845
2001,14,70+,0.128868
2010,14,0 a 17,0.15379
2010,14,18 a 29,0.205934
2010,14,30 a 54,0.347128
2010,14,55 a 69,0.166319
2010,14,70+,0.126829
2022,14,0 a 17,0.144755
2022,14,18 a 29,0.186591
2022,14,30 a 54,0.369752
2022,14,55 a 69,0.156177
2022,14,70+,0.142725
1991,15,0 a 17,0.239754
1991,15,18 a 29,0.160805
1991,15,30 a 54,0.320533
1991,15,55 a 69,0.165181
1991,15,70+,0.113727
2001,15,0 a 17,0.208738
2001,15,18 a 29,0.188396
2001,15,30 a 54,0.333685
2001,15,55 a 69,0.143103
2001,15,70+,0.126078
2010,15,0 a 17,0.1915
2010,15,18 a 29,0.181633
2010,15,30 a 54,0.358938
2010,15,55 a 69,0.154599
2010,15,70+,0.113331
2022,15,0 a 17,0.172125
2022,15,18 a 29,0.158641
2022,15,30 a 54,0.392692
2022,15,55 a 69,0.158841
2022,15,70+,0.117702
