anio,prop_hac,prop_hac_critico
1991,0.049505730259117774,0.016294552066801183
2001,0.04378251247262108,0.0326959494402531
2010,0.042645465658784104,0.015336473836961606
2022,0.03207569300543457,0.009999040330979182
